агитировать	сагитировать
айкать	айкнуть
алеть	заалеть
алеться	заалеться
алкать	взалкать
анализировать	проанализировать
арестовывать	арестовать
артачиться	заартачиться
ассигновывать	ассигновать
асфальтировать	заасфальтировать
аукать	аукнуть
аукаться	аукнуться
ахать	ахнуть
бабахать	бабахнуть
бабахаться	бабахнуться
бабиться	обабиться
багроветь	побагроветь
баламутить	взбаламутить
балансировать	сбалансировать
баллотировать	забаллотировать
баловать	избаловать
банкротиться	обанкротиться
барабанить	забарабанить
барахлить	забарахлить
баррикадировать	забаррикадировать
баррикадироваться	забаррикадироваться
басить	пробасить
бастовать	забастовать
бахать	бахнуть
бахаться	бахнуться
бацать	бацнуть
бацаться	бацнуться
беднеть	обеднеть
бедокурить	набедокурить
бежать	побежать
бездельничать	пробездельничать
безобразничать	набезобразничать
белеть	побелеть
белиться	набелиться
бередить	разбередить
беременеть	забеременеть
беречь	сберечь
беседовать	побеседовать
бесить	взбесить
беситься	взбеситься
беспокоить	побеспокоить
беспокоиться	обеспокоиться
бесчестить	обесчестить
бетонировать	забетонировать
бибикать	бибикнуть
бинтовать	забинтовать
бинтоваться	забинтоваться
благоволить	соблаговолить
благодарить	поблагодарить
благодетельствовать	облагодетельствовать
благословлять	благословить
благословляться	благословиться
благоустраивать	благоустроить
благоустраиваться	благоустроиться
благоухать	заблагоухать
бледнеть	побледнеть
блекнуть	поблекнуть
блестеть	заблестеть
блистать	блеснуть
блуждать	проблуждать
богатеть	разбогатеть
бодать	забодать
бодрить	взбодрить
божиться	побожиться
болеть	заболеть
болтыхать	болтыхнуть
бомбить	разбомбить
бормотать	пробормотать
бояться	испугаться
браковать	забраковать
бранить	побранить
брататься	побрататься
брать	взять
браться	взяться
брезговать	побрезговать
брезжить	забрезжить
брезжиться	забрезжиться
бренчать	забренчать
брести	побрести
брить	побрить
бриться	побриться
бродить	забродить
бросать	бросить
бросаться	броситься
брошюровать	сброшюровать
брызгать	брызнуть
брызгаться	брызнуться
брыкать	брыкнуть
брыкаться	брыкнуться
брюзгнуть	обрюзгнуть
брюхатеть	забрюхатеть
брюхатить	обрюхатить
брякать	брякнуть
брякаться	брякнуться
бряцать	бряцнуть
бубнить	пробубнить
бугрить	взбугрить
буксировать	отбуксировать
буксовать	забуксовать
бултыхать	бултыхнуть
бултыхаться	бултыхнуться
булькать	булькнуть
бунтовать	забунтовать
бунтоваться	взбунтоваться
буреть	побуреть
бурить	пробурить
бурлить	забурлить
буровить	пробуровить
буртовать	забуртовать
бурчать	буркнуть
бухать	бухнуть
бухаться	бухнуться
бухнуть	набухнуть
бушевать	разбушеваться
бывать	побывать
бычиться	набычиться
бюллетенить	забюллетенить
бякать	бякнуть
важничать	заважничать
ваксить	наваксить
валандаться	проваландаться
вальцевать	свальцевать
валять	свалять
валяться	сваляться
варганить	сварганить
варить	сварить
вариться	свариться
ваять	изваять
вбегать	вбежать
вбивать	вбить
вбирать	вобрать
вбираться	вобраться
вбрасывать	вбросить
вбрасывать*	вбросать
вбухивать	вбухнуть
вбухивать*	вбухать
вбухиваться	вбухнуться
вбухиваться*	вбухаться
вваливать	ввалить
вваливаться	ввалиться
вваривать	вварить
ввергать	ввергнуть
ввергаться	ввергнуться
вверстывать	вверстать
ввертывать	ввернуть
вверчивать	ввертеть
вверять	вверить
вверяться	ввериться
ввивать	ввить
ввинчивать	ввинтить
ввинчиваться	ввинтиться
вводить	ввести
ввозить	ввезти
вволакивать	вволочь
вволакивать*	вволочить
вворачивать	вворотить
ввязать	ввязнуть
ввязывать	ввязать
ввязываться	ввязаться
вгибать	вогнуть
вгибаться	вогнуться
вглядываться	вглядеться
вгонять	вогнать
вгрызаться	вгрызться
вдаваться	вдаться
вдавливать	вдавить
вдавливаться	вдавиться
вдалбливать	вдолбить
вдвигать	вдвинуть
вдвигаться	вдвинуться
вдевать	вдеть
вдеваться	вдеться
вделывать	вделать
вдергивать	вдернуть
вдоветь	овдоветь
вдохновлять	вдохновить
вдохновляться	вдохновиться
вдувать	вдуть
вдувать*	вдунуть
вдумываться	вдуматься
вдыхать	вдохнуть
везти	повезти
вентилировать	провентилировать
венчать	обвенчать
венчаться	обвенчаться
вербовать	завербовать
верещать	заверещать
верить	поверить
вериться	повериться
веровать	уверовать
верстать	сверстать
вертеть	повертеть
вертеться	извертеться
веселеть	повеселеть
веселить	развеселить
веселиться	развеселиться
вести	повести
вестись	повестись
ветшать	обветшать
вешать	повесить
вешаться	повеситься
веять	повеять
вживаться	вжиться
вживлять	вживить
вжимать	вжать
вжиматься	вжаться
взбадривать	взбодрить*
взбадриваться	взбодриться
взбалтывать	взболтать
взбалтывать*	взболтнуть
взбалтываться	взболтаться
взбегать	взбежать
взбивать	взбить
взбиваться	взбиться
взбираться	взобраться
взблескивать	взблеснуть
взбрасывать	взбросить
взбредать	взбрести
взбрызгивать	взбрызнуть
взбрыкивать	взбрыкнуть
взбудораживать	взбудоражить*
взбудораживаться	взбудоражиться*
взбухать	взбухнуть
взваливать	взвалить
взваривать	взварить
взвевать	взвеять
взвеваться	взвеяться
взвеселять	взвеселить
взвеселяться	взвеселиться
взвешивать	взвесить
взвешиваться	взвеситься
взвивать	взвить
взвиваться	взвиться
взвизгивать	взвизгнуть
взвинчивать	взвинтить
взвинчиваться	взвинтиться
взводить	взвести
взводиться	взвестись
взвозить	взвезти
взволакивать	взволочь
взволакивать*	взволочить
взволновывать	взволновать	
взвывать	взвыть
взглядывать	взглянуть
взгревать	взгреть
взгромождать	взгромоздить
взгромождаться	взгромоздиться
вздваивать	вздвоить
вздевать	вздеть
вздергивать	вздернуть
вздергиваться	вздернуться
вздорить	повздорить
вздрагивать	вздрогнуть
вздрючивать	вздрючить*
вздувать	вздуть
вздуваться	вздуться
вздыбливать	вздыбить
вздыхать	вздохнуть
взирать	воззреть
взлаивать	взлаять
взламывать	взломать
взлезать	взлезть
взлетать	взлететь
взлохмачивать	взлохматить
взлохмачиваться	взлохматиться
взмаливаться	взмолиться
взманивать	взманить
взмахивать	взмахнуть
взмачивать	взмочить
взмащивать	взмостить
взмащиваться	взмоститься
взметать	взмести
взметывать	взметнуть
взметывать*	взметать
взметываться	взметнуться
взмокать	взмокнуть
взмучивать	взмутить
взмывать	взмыть
взмыливать	взмылить
взмыливаться	взмылиться
взносить	взнести
взноситься	взнестись
взнуздывать	взнуздать
взрастать	взрасти
взращивать	взрастить
взрезывать	взрезать
взрослеть	повзрослеть
взрываться	взорваться
взрыхлять	взрыхлить
взъедаться	взъесться
взъезжать	взъехать
взъерошивать	взъерошить*
взъерошиваться	взъерошиться*
взывать	воззвать
взыскивать	взыскать
взыскиваться	взыскаться
вибрировать	завибрировать
видаться	повидаться
видеть	увидеть
видеться	увидеться
видоизменять	видоизменить
видоизменяться	видоизмениться
визжать	завизжать
вилять	вильнуть
виниться	повиниться
винтиться	завинтиться
виснуть	повиснуть*
вить	свить
вихриться	завихриться
вкалывать	вколоть
вкалываться	вколоться
вкапывать	вкопать
вкапывать*	вкапать
вкапывать*	вкапнуть
вкапываться	вкопаться
вкарабкиваться	вкарабкаться
вкатывать	вкатать
вкатывать*	вкатить
вкатываться	вкатиться
вкачивать	вкачать
вкашиваться	вкоситься
вкидывать	вкинуть
вкладывать	вложить
вклеивать	вклеить
вклеиваться	вклеиться
вклепывать	вклепать
вклепываться	вклепаться
вклинивать	вклинить
вклиниваться	вклиниться
включать	включить
включаться	включиться
вковывать	вковать
вколачивать	вколотить
вкоренять	вкоренить
вкореняться	вкорениться
вкрадываться	вкрасться
вкраивать	вкроить
вкрапливать	вкрапить*
вкрапливаться	вкрапиться*
вкраплять	вкрапить
вкрапляться	вкрапиться
вкручивать	вкрутить
вкручиваться	вкрутиться
вкушать	вкусить
влагать	вложить*
влажнеть	повлажнеть
вламываться	вломиться
влезать	влезть
влеплять	влепить
влепляться	влепиться
влетать	влететь
влечь	повлечь
вливать	влить
вливаться	влиться
влипать	влипнуть
влиять	повлиять
влопываться	влопаться
влюблять	влюбить
влюбляться	влюбиться
вляпывать	вляпать
вляпываться	вляпаться
вмазывать	вмазать
вматывать	вмотать
вменять	вменить
вменяться	вмениться
вмерзать	вмерзнуть
вметать	вмести
вметывать	вметать
вметывать*	вметнуть
вмешивать	вмешать
вмешивать*	вмесить
вмешиваться	вмешаться
вмещать	вместить
вмещаться	вместиться
вминать	вмять
вминаться	вмяться
вмораживать	вморозить
вмуровывать	вмуровать
внедрять	внедрить
внедряться	внедриться
вникать	вникнуть
внимать	внять
вносить	внести
вноситься	внестись
внушать	внушить
внюхиваться	внюхаться
вовлекать	вовлечь
вовлекаться	вовлечься
водворять	водворить
водворяться	водвориться
водружать	водрузить
водружаться	водрузиться
возбранять	возбранить
возбуждать	возбудить
возбуждаться	возбуждаться
возвеличивать	возвеличить
возвеличиваться	возвеличиться
возвеселять	возвеселить
возвеселяться	возвеселиться
возвещать	возвестить
возводить	возвести
возвращать	возвратить
возвращать	вернуть
возвращаться	возвратиться
возвращаться	вернуться
возвышать	возвысить
возвышаться	возвыситься
возглавлять	возглавить
возглашать	возгласить
возгонять	возгнать
возгораться	возгореться
воздавать	воздать
воздаваться	воздаться
воздвигать	воздвигнуть
воздвигаться	воздвигнуться
воздевать	воздеть
возделывать	возделать
воздерживать	воздержать
воздерживаться	воздержаться
воздыхать	воздохнуть
возжигать	возжечь
возжигаться	возжечься
возлагать	возложить
возлегать	возлечь*
возлежать	возлечь
возливать	возлить
возмещать	возместить
возмещаться	возместиться
возмущать	возмутить
возмущаться	возмутиться
вознаграждать	вознаградить
вознамериваться	вознамериться
возникать	возникнуть
возносить	вознести
возноситься	вознестись
возобновлять	возобновить
возобновляться	возобновиться
возражать	возразить
возрастать	возрасти
возрождать	возродить
возрождаться	возродиться
волновать	взволновать
волноваться	взволноваться
волосатеть	оволосатеть
волынить	проволынить
волыниться	проволыниться
вонзать	вонзить
вонзаться	вонзиться
вонять	навонять
воображать	вообразить
воображаться	вообразиться
воодушевлять	воодушевить
воодушевляться	воодушевиться
вооружать	вооружить
вооружаться	вооружиться
вопить	завопить
воплощать	воплотить
воплощаться	воплотиться
вопрошать	вопросить
ворковать	проворковать
воркотать	проворкотать
воровать	своровать
ворожить	наворожить
ворошить	разворошить
ворчать	проворчать
восклицать	воскликнуть
воскресать	воскреснуть
воскрешать	воскресить
воскрылять	воскрылить
воскурять	воскурить
воспалять	воспалить
воспаляться	воспалиться
воспарять	воспарить
воспевать	воспеть
воспитывать	воспитать
воспитываться	воспитаться
воспламенять	воспламенить
воспламеняться	воспламениться
восполнять	восполнить
восполняться	восполниться
воспрещать	воспретить
воспринимать	воспринять
воспроизводить	воспроизвести
воспроизводиться	воспроизвестись
восседать	воссесть
восславлять	восславить
воссоединять	воссоединить
воссоединяться	воссоединиться
воссоздавать	воссоздать
воссоздаваться	воссоздаться
восставать	восстать
восставлять	восставить
восстанавливать	восстановить
восстанавливаться	восстановиться
вострить	навострить
восхвалять	восхвалить
восхищать	восхитить
восхищаться	восхититься
восходить	взойти
воцаряться	воцариться
вощить	навощить
впадать	впасть
впаивать	впаять
впархивать	впорхнуть
впекать	впечь
вперять	вперить
вперяться	впериться
впечатлять	впечатлить
впивать	впить
впиваться	впиться
впирать	впереть
впираться	впереться
вписывать	вписать
вписываться	вписаться
впитывать	впитать
впитываться	впитаться
впихивать	впихнуть
впихивать*	впихать
впихиваться	впихнуться
впихиваться*	впихаться
вплавлять	вплавить
вплескивать	вплеснуть
вплетать	вплести
вплетаться	вплестись
вплывать	вплыть
вползать	вползти
вправлять	вправить
вправляться	вправиться
впрессовывать	впрессовать
впрыгивать	впрыгнуть
впрыскивать	впрыснуть
впрягать	впрячь
впрягаться	впрячься
впрядать	впрясть
впускать	впустить
впутывать	впутать
впутываться	впутаться
впяливать	впялить
впяливаться	впялиться
впячивать	впятить
впячиваться	впятиться
врабатываться	вработаться
вразумлять	вразумить
врастать	врасти
врать	соврать
врезать	врезать
врезаться	врезаться
врезывать	врезать*
врезываться	врезаться*
временить	повременить
врубать	врубить
врубаться	врубиться
вручать	вручить
врывать	врыть
врываться	ворваться
врываться*	врыться
всаживать	всадить
всасывать	всосать
всасываться	всосаться
всевать	всеять
вселять	вселить
вселяться	вселиться
вскакивать	вскочить
вскальзывать	вскользнуть
вскапывать	вскопать
вскарабкиваться	вскарабкаться*
вскармливать	вскормить
вскатывать	вскатывить
вскидывать	вскинуть
вскидываться	вскинуться
вскипать	вскипеть
вскисать	вскиснуть
всклокочивать	всклокочить
всклокочиваться	всклокочиться
всклочивать	всклочить
всклочиваться	всклочиться
