абажур	lampshade
аббат	abbot
абзац	paragraph
абонемент	subscription
абонемент	season­ticket
абонент	subscriber
абонироваться	subscribe
аборт	abortion
абрикос	apricot
абрикос	apricot­tree
абсолютный	absolute
абстрактный	abstract
абстракционизм	abstractionism
абстракционист	abstract painter
абсурд	absurdity
абсурдный	absurd
абсурдный	ridiculous
абхазец	Abkhazian
абхазский	Abkhazian
авангард	vanguard
авангард	van
авангард	avant­garde
аванс	prepayment
авансцена	proscenium
авантюра	adventure
авантюра	venture
авантюризм	adventurism
авантюрист	adventurer
авантюрный	venturesome
аварийный	emergency
авария	accident
август	August
авиабаза	air­base
авиабомба	bomb
авиадесант	air landing
авиадесант	airborne troops
авиаконструктор	aircraft designer
авианосец	aircraft carrier
авиапочта	air mail
авиация	aviation
авиация	aircraft
авось	perhaps
авось	may be
аврал	all hands on deck
аврал	all hand's job
австралиец	Australian
австралийский	Australian
австриец	Austrian
австрийский	Austrian
автобаза	motor depot
автобиография	autobiography
автоблокировка	automatic block system
автобус	bus
автобус	autobus
автограф	autograph
автозавод	automobile works
автозавод	automobile plant
автомагистраль	motor­way
автомат	automatic machine
автомат	slot­machine
автомат	automaton
автомат	submachine gun
автоматизация	automation
автоматический	automatic
автоматчик	submachine gunner
автомобиль	car
автомобиль	automobile
автономия	autonomy
автономия	self­government
автономный	autonomous
автопортрет	self­portrait
автор	author
авторитет	authority
авторитетный	authoritative
авторский	author's
авторство	authorship
авторучка	fountain­pen
автострада	motor way
автотранспорт	motor transport
агент	agent
агентство	agency
агентура	intelligence service
агитатор	propagandist
агитатор	agitator
агитация	agitation
агитация	propaganda
агитбригада	propaganda team
агитировать	agitate
агитировать	make propaganda
агитпункт	propaganda station
агитпункт	agitation centre
агония	agony
аграрный	agrarian
агрегат	unit
агрессивный	aggressive
агрессия	aggression
агрессор	aggressor
агробиология	agricultural biology
агроном	agronomist
агрономический	agronomical
агрономия	agronomy
агротехника	agrotechnics
ад	hell
адвокат	lawyer
адвокат	barrister
адвокатура	the bar
аджарец	Adzhar
аджарский	Adzhar
административный	administrative
администратор	administrator
администратор	business manager
администрация	administration
администрация	management
адмирал	admiral
адмиралтейство	the Admiralty
адрес	address
адресат	addressee
адресовать	address
адресовать	direct
адский	hellish
адъютант	aide­de­camp
адъютант	aide
азарт	heat
азарт	excitement
азарт	passion
азартный	passionate
азбука	alphabet
азбука	ABC
азбука	ABC­book
азербайджанец	Azerbaijanian
азербайджанский	Azerbaijan
азиатский	Asiatic
азот	nitrogen
аист	stork
академик	member of the Academy
академик	academician
академический	academic
академия	Academy
акация	acacia
акварель	water­colour
аквариум	aquarium
акклиматизироваться	acclimatize oneself
аккомпанемент	accompaniment
аккомпаниатор	accompanist
аккомпанировать	accompany
аккорд	chord
аккордеон	accordion
аккредитив	letter of credit
аккредитовать	accredit
аккумулятор	accumulator
аккуратно	punctually
аккуратно	neatly
аккуратность	punctuality
аккуратность	tidiness
аккуратность	neatness
аккуратный	punctual
аккуратный	tidy
аккуратный	neat
акробат	acrobat
акробатический	acrobatic
аксиома	axiom
акт	act
акт	act
акт	deed
акт	statement
актёр	actor
активизировать	activate
активист	activist
активно	actively
активность	activity
активный	active
актриса	actress
актуальный	present­day
актуальный	actual
акула	shark
акустика	acoustics
акушерка	midwife
акцент	accent
акционер	shareholder
акционер	stockholder
акция	share
акция	action
албанец	Albanian
албанский	Albanian
алгебра	algebra
алеть	redden
алеть	show red
алеть	glow
алкоголизм	alcoholism
алкоголик	alcoholic
алкоголик	drunkard
алкоголь	alcohol
алкогольный	alcoholic
аллегорический	allegorical
аллегория	allegory
аллея	avenue
аллея	alley
алло	hullo
алло	hello
алмаз	diamond
алмаз	glazier's diamond
алфавит	alphabet
алчность	greediness
алчность	cupidity
алчный	greedy
алый	scarlet
альбом	album
альбом	sketch­book
альманах	almanac
